Place,Location,Area,Rooms,Air Conditioning,Built-in Wardrobes,Elevator,Heating,Garage,Terrace,Price
Piso,Centro,75,1,1,1,0,0,0,0,670000
Ático,Chamartín,327,5,1,1,1,1,1,1,1950000
Piso,Fuencarral,112,3,1,1,1,1,0,0,399000
Piso,Centro,110,3,1,1,1,1,0,0,839000
Piso,Centro,130,2,1,0,1,0,0,0,735000
Piso,Retiro,51,2,0,1,1,1,0,0,235000
Piso,Salamanca,402,5,1,0,1,0,0,1,3700000
Piso,Salamanca,285,6,1,1,1,1,0,1,920000
Piso,Carabanchel,75,3,0,0,0,1,0,1,198000
Piso,Chamberí,144,3,1,1,1,1,0,0,880000
Piso,Carabanchel,100,3,1,1,1,1,1,1,295000
Piso,Arganzuela,95,3,0,1,1,0,0,1,365000
Piso,Retiro,115,4,0,1,1,1,1,0,495000
Piso,Ciudad Lineal,57,3,0,0,0,0,0,1,98000
Piso,Villaverde,59,3,0,0,0,0,0,1,106990
Piso,Moratalaz,51,2,1,0,1,0,0,0,149999
Piso,Retiro,105,3,0,1,1,1,0,0,460000
Piso,Salamanca,158,6,0,0,1,1,0,0,798000
Piso,Usera,62,2,1,0,1,0,0,0,125000
Piso,Chamberí,50,2,0,1,1,1,0,0,270000
Piso,Carabanchel,112,3,0,0,0,1,0,0,195000
Piso,Centro,83,2,0,1,1,1,0,0,429000
Piso,Salamanca,104,3,1,1,1,1,0,0,1250000
Piso,Salamanca,90,2,1,1,1,1,0,0,1375000
Piso,Chamartín,263,5,1,1,1,1,1,1,2295000
Piso,Retiro,194,3,1,1,1,0,0,1,1600000
Piso,Carabanchel,105,3,0,1,1,1,0,1,340000
Dúplex,Centro,35,1,0,0,1,1,0,0,179000
Piso,Centro,180,4,0,0,1,0,0,0,2100000
Ático,Fuencarral,276,5,1,1,1,1,1,1,1180000
Piso,Hortaleza,76,3,0,1,1,1,0,1,225000
Piso,Moncloa,269,4,1,0,0,0,1,1,1180000
Piso,Chamberí,457,5,0,0,1,0,1,1,4200000
Piso,Usera,82,3,0,0,0,1,0,1,135000
Piso,Carabanchel,75,3,1,1,1,1,0,1,210000
Piso,Hortaleza,138,4,1,1,1,1,1,0,499000
Piso,Latina,97,4,0,1,1,1,0,0,220000
Piso,Moncloa,200,4,1,1,1,1,1,1,1995000
Piso,Villaverde,57,1,0,0,1,0,0,1,207670
Piso,Tetuán,284,3,1,0,0,0,0,0,1700000
Piso,Fuencarral,192,4,1,1,1,1,1,1,832000
Dúplex,Latina,75,1,1,1,1,1,1,1,175000
Piso,Ciudad Lineal,75,3,1,1,0,1,0,1,180000
Piso,Centro,125,3,1,0,1,1,0,0,899000
Piso,Chamartín,366,5,0,0,1,0,1,1,1690000
Piso,Salamanca,125,4,1,1,1,1,0,1,1050000
Piso,Puente de Vallecas,45,1,0,0,0,0,0,1,136500
Piso,Chamartín,274,4,1,1,1,1,1,1,998000
Piso,Ciudad Lineal,88,3,0,1,1,1,0,0,226000
Piso,Usera,55,2,1,1,1,1,1,1,249000
Piso,Vicálvaro,69,3,1,1,0,1,0,1,152925
Piso,Moncloa,294,5,1,1,1,1,1,1,1150000
Piso,Villa de Vallecas,109,4,0,1,1,1,0,1,254000
Piso,Centro,50,1,1,1,1,0,1,0,349999
Piso,Moncloa,165,4,0,0,1,1,1,1,650000
Piso,Tetuán,105,5,0,0,1,1,0,1,387500
Piso,Barajas,100,3,0,1,1,0,0,1,349000
Dúplex,Fuencarral,76,1,1,1,1,1,1,1,350000
Piso,Chamberí,220,3,1,1,1,0,0,0,1330000
Piso,Arganzuela,100,1,1,1,1,1,1,0,298000
Piso,San Blas,135,3,1,1,1,1,1,0,395000
Piso,Carabanchel,93,4,0,0,1,1,0,0,260000
Piso,Centro,134,3,1,0,1,1,0,1,1199000
Piso,Centro,106,3,0,0,1,1,0,0,829000
Piso,Moncloa,120,2,1,1,1,1,0,0,750000
Piso,Chamberí,172,4,1,1,1,1,1,1,840000
Piso,Arganzuela,84,3,1,1,1,1,0,0,385000
Piso,Chamberí,424,5,1,1,1,1,1,1,1760000
Piso,Puente de Vallecas,107,2,0,0,1,1,0,0,150500
Piso,Tetuán,57,1,1,1,1,1,0,0,310000
Piso,Puente de Vallecas,65,4,1,1,0,1,0,0,150000
Piso,Chamartín,75,2,0,1,1,0,0,0,317600
Piso,Hortaleza,149,3,1,1,1,1,1,0,475000
Piso,Tetuán,140,3,1,1,1,1,0,0,995000
Piso,Centro,154,2,0,0,1,0,0,1,775000
Piso,Puente de Vallecas,65,2,1,1,0,1,0,0,119000
Piso,Fuencarral,134,2,1,1,1,1,1,0,485000
