Place,Location,Rooms,Toilets,Area,Air Conditioning,Built-in Wardrobes,Elevator,Heating,Garage,Terrace,Price
Piso,Ciudad Lineal,3,2,90,0,1,1,1,0,1,255000
Piso,Salamanca,3,3,132,1,1,1,1,0,0,1300000
Piso,Chamberí,1,1,40,0,1,0,1,0,0,235000
Piso,Centro,2,1,66,0,1,1,1,0,0,483000
Piso,Salamanca,5,4,263,0,0,1,0,1,1,2300000
Piso,Ciudad Lineal,3,1,67,0,0,1,0,0,1,150000
Piso,Centro,4,2,130,0,0,1,1,0,0,650000
Piso,Moratalaz,4,1,100,0,0,0,1,0,1,215000
Piso,Centro,2,2,79,1,1,1,1,0,0,440500
Piso,Ciudad Lineal,1,1,64,1,1,0,1,0,1,205000
Piso,Centro,5,5,154,1,0,1,1,0,0,949000
Piso,Villaverde,3,2,109,0,1,1,1,1,1,253597
Piso,Usera,2,1,65,1,0,1,1,0,0,148000
Piso,Centro,3,2,129,0,1,1,1,0,0,750000
Piso,Arganzuela,1,1,50,1,1,1,1,0,0,262000
Piso,Puente de Vallecas,3,1,73,0,1,0,1,0,0,166000
Piso,Centro,3,3,100,1,0,1,1,0,0,789000
Piso,Centro,1,1,52,1,1,1,1,0,0,360000
Piso,Arganzuela,3,2,100,1,1,1,1,0,0,468000
Piso,Puente de Vallecas,1,1,50,0,1,0,0,0,0,149999
Piso,Centro,2,1,100,1,0,1,1,0,0,480000
Piso,Chamberí,1,1,99,1,1,0,1,0,0,750000
Piso,Chamartín,2,1,82,1,1,1,1,0,0,320000
Piso,Carabanchel,2,1,75,0,0,0,0,0,1,159000
Ático,Villa de Vallecas,3,2,171,1,1,1,1,1,1,410000
Piso,Tetuán,3,3,178,1,0,1,1,1,1,990000
Piso,Centro,3,3,110,1,1,1,0,0,0,829000
Piso,Salamanca,3,3,260,1,1,1,1,0,0,2200000
Piso,Ciudad Lineal,1,1,50,1,1,1,1,0,0,175000
Piso,Arganzuela,3,2,120,1,1,1,1,1,0,450000
Piso,Tetuán,3,3,127,1,1,1,1,0,0,950000
Piso,Latina,3,1,53,0,1,0,0,0,1,136500
Piso,Ciudad Lineal,3,2,115,0,0,1,1,1,0,343909
Piso,Centro,1,1,75,1,1,1,1,0,0,375000
Piso,San Blas,3,1,88,0,1,1,1,0,1,230000
Piso,Villa de Vallecas,3,1,79,0,0,0,0,0,1,155000
Piso,Centro,3,1,75,0,1,0,1,0,1,349724
Piso,Arganzuela,3,1,98,1,0,1,1,0,0,360000
Ático,Centro,1,1,75,1,1,1,1,0,1,775000
Piso,Centro,1,1,66,0,0,1,0,0,0,275000
Dúplex,Tetuán,3,3,112,1,1,0,1,0,0,360000
Dúplex,Salamanca,5,5,328,1,1,1,1,1,1,5000000
Piso,Villaverde,2,1,52,1,1,0,1,0,1,109000
Piso,Ciudad Lineal,2,2,73,1,1,1,1,1,0,247198
Piso,Salamanca,7,2,178,0,0,1,0,0,0,750000
Piso,Fuencarral,4,4,225,1,1,1,1,1,0,940000
Piso,Centro,1,1,24,0,0,1,1,0,0,130000
Piso,Centro,3,3,106,1,1,1,1,0,0,839000
Piso,Chamberí,3,3,96,1,0,1,1,0,0,799000
Piso,Moncloa,2,1,70,1,0,1,1,0,1,575500
Ático,Chamartín,4,5,595,1,1,1,1,1,1,5800000
Piso,Centro,3,3,104,1,1,1,1,0,0,890000
Piso,Centro,1,1,25,0,0,0,1,1,0,139000
Piso,Chamberí,3,2,121,1,1,1,0,0,0,570000
Piso,Tetuán,2,1,50,0,0,0,1,0,0,174900
Piso,Moncloa,4,4,192,1,1,1,1,1,1,832000
Piso,Salamanca,2,2,90,1,1,1,1,0,0,720000
Piso,Centro,3,1,90,0,0,0,1,0,0,430000
Piso,Ciudad Lineal,3,1,73,1,0,0,0,0,0,219000
Piso,Carabanchel,2,1,84,0,1,1,1,0,0,180000
Piso,Retiro,5,3,238,1,1,1,1,1,0,1690000
Piso,Tetuán,2,2,149,1,0,0,1,0,0,423273
Piso,Fuencarral,3,2,120,1,1,1,1,1,0,475000
Piso,Carabanchel,3,1,73,0,0,0,1,0,1,189000
Piso,Salamanca,2,3,105,1,1,1,0,0,0,1420000
Piso,Chamberí,2,3,109,1,1,1,1,0,0,899000
Piso,Tetuán,3,2,104,0,1,1,1,1,1,380000
Piso,Villaverde,2,1,52,1,1,0,1,0,0,134999
Piso,Puente de Vallecas,2,1,67,0,0,0,1,0,0,133000
Piso,Fuencarral,1,1,70,0,0,1,1,0,0,289900
Piso,Puente de Vallecas,2,1,58,0,0,0,0,0,1,125000
Ático,Chamberí,4,4,200,1,1,1,1,1,1,1249000
Piso,Chamartín,4,3,238,1,0,1,1,1,1,850000
Piso,Ciudad Lineal,1,1,67,1,1,1,0,1,1,320000
Piso,Fuencarral,2,1,70,0,1,1,0,0,1,254030
Piso,Centro,1,1,68,1,0,1,1,0,0,359000
Piso,Puente de Vallecas,1,1,74,1,1,1,1,0,0,175000
Piso,Salamanca,5,2,160,0,1,1,1,1,0,1490000
Piso,Retiro,3,2,96,1,1,1,1,0,1,519000
Piso,Tetuán,4,2,149,1,0,0,1,0,0,423273
Piso,Centro,2,3,109,1,0,1,1,0,0,899000
Piso,Chamartín,5,3,300,1,1,1,1,1,1,1520000
Piso,Arganzuela,1,1,44,1,0,1,1,0,0,239000
Ático,Fuencarral,4,3,160,1,1,1,1,1,1,795000
Piso,Latina,2,1,67,1,1,1,1,0,1,197999
Piso,Centro,8,3,307,0,1,1,1,0,0,1350000
Ático,Chamartín,1,1,120,1,1,1,1,0,1,580000
Piso,Barajas,3,2,111,0,1,1,1,1,1,402500
Piso,Arganzuela,3,2,125,1,1,1,1,1,0,629000
Piso,Chamberí,5,4,244,0,1,1,1,1,1,1200000
Piso,Salamanca,5,3,224,1,1,1,1,1,1,1195000
Piso,San Blas,2,1,50,1,1,1,1,0,0,160000
Ático,Salamanca,3,3,150,1,1,1,1,0,1,995000
Piso,Ciudad Lineal,3,2,118,0,0,1,1,1,1,299000
Piso,Centro,3,3,112,1,1,1,0,0,0,959000
Piso,Vicálvaro,1,1,53,0,1,1,0,0,0,168046
Piso,Retiro,5,4,330,0,1,1,0,0,1,2450000
Piso,Tetuán,4,3,177,1,1,1,1,1,1,950000
Piso,Chamberí,5,3,428,1,1,1,1,1,1,2550000
Piso,Puente de Vallecas,3,1,55,1,1,0,0,0,1,143500
Piso,Latina,2,2,175,1,1,0,1,0,1,410000
Piso,Moncloa,4,3,176,1,0,1,1,1,1,960000
Piso,Salamanca,3,2,128,1,0,1,1,0,0,795000
Piso,Chamberí,5,5,439,1,1,1,1,0,0,1988000
Piso,Carabanchel,2,1,58,0,0,1,0,0,0,119406
Piso,Chamartín,1,1,65,1,1,1,0,0,0,440000
Piso,Salamanca,3,4,146,0,1,1,1,0,0,1050000
Piso,Ciudad Lineal,2,1,89,1,1,1,0,1,0,320000
Piso,Centro,2,2,118,1,1,1,1,0,0,889000
Piso,Salamanca,3,2,137,0,0,0,0,0,1,602000
Piso,Centro,2,1,88,1,0,1,1,0,0,550000
Piso,Moncloa,4,3,187,1,1,1,1,0,1,1600000
Piso,Salamanca,3,2,160,1,1,1,0,0,0,1780000
Piso,Ciudad Lineal,3,1,80,0,0,1,1,0,0,195000
Dúplex,Tetuán,3,3,114,1,1,1,1,1,1,455000
Piso,Centro,2,2,180,1,1,1,0,0,1,1650000
Piso,Centro,1,1,35,1,1,1,0,0,0,205000
Piso,Tetuán,3,2,75,1,1,1,1,0,0,515000
Piso,Salamanca,4,4,309,1,1,1,1,0,0,3990000
Piso,Hortaleza,4,2,156,0,1,1,1,1,1,420000
Ático,Salamanca,5,5,562,1,0,1,0,1,1,6950000
Ático,Arganzuela,2,2,92,1,1,1,1,1,1,535000
Piso,Puente de Vallecas,2,1,48,0,0,0,1,0,1,119000
Piso,Centro,2,2,106,1,0,1,1,0,1,635000
Estudio,Moncloa,1,1,40,1,1,1,1,0,0,358000
Piso,Salamanca,2,2,75,1,1,1,1,1,1,995000
Piso,Arganzuela,2,1,48,0,1,1,0,0,0,259000
Piso,Villa de Vallecas,2,1,57,1,0,0,1,0,1,125000
Piso,Ciudad Lineal,2,2,115,1,1,1,1,0,0,375000
Piso,Ciudad Lineal,4,1,79,0,1,0,1,0,1,151050
Piso,Ciudad Lineal,4,3,163,0,1,1,1,1,1,800000
Piso,Chamberí,6,2,215,0,0,1,1,0,1,1490000
Piso,Chamberí,2,2,127,0,1,1,1,0,0,875000
Piso,Salamanca,3,2,148,1,1,1,1,0,0,1290000
Piso,Carabanchel,3,2,88,0,0,1,1,0,1,310000
Piso,Tetuán,2,2,60,1,0,0,0,0,0,585000
Piso,Carabanchel,2,1,56,0,0,0,1,0,1,140000
Piso,San Blas,2,2,88,1,1,1,1,1,0,320000
Piso,Salamanca,3,3,102,1,1,1,1,0,0,889000
Piso,Latina,1,1,55,1,1,0,1,0,0,155000
Piso,Ciudad Lineal,2,2,71,1,0,0,1,0,1,219000
Piso,Salamanca,3,1,85,0,1,0,0,0,0,535000
Piso,Centro,3,3,150,1,1,1,0,0,0,730000
Piso,Chamberí,2,1,78,0,1,0,0,0,0,360000
Piso,Puente de Vallecas,3,2,104,1,1,1,1,0,1,210000
Piso,Retiro,3,2,130,1,1,1,1,1,0,595000
Piso,Centro,3,3,223,1,0,1,1,0,0,1800000
Piso,Arganzuela,1,1,47,0,1,1,1,1,0,315000
Piso,Chamartín,2,2,117,1,1,1,1,1,1,515000
Piso,Salamanca,5,4,400,0,1,1,0,0,0,3900000
Piso,Centro,2,2,99,1,1,1,1,0,0,889000
Piso,Barajas,1,1,27,0,0,1,1,0,1,93200
Ático,Arganzuela,2,1,61,1,1,1,1,0,1,335000
Piso,Usera,3,1,80,1,0,0,1,0,1,176000
Piso,Tetuán,3,2,151,1,0,1,1,0,1,770000
Piso,Fuencarral,3,2,125,1,0,1,0,1,0,455000
Piso,Chamberí,3,3,134,1,1,1,1,0,0,1199000
Piso,Moncloa,2,2,85,1,1,1,1,0,0,565000
Piso,Carabanchel,3,2,115,1,1,1,1,1,0,455000
Piso,Moncloa,2,2,96,1,1,1,1,1,1,490000
Piso,Puente de Vallecas,3,1,56,0,0,1,0,0,0,80000
Piso,Chamartín,1,1,133,1,1,1,1,0,0,345000
Piso,Centro,4,2,220,0,0,1,1,0,0,829000
Piso,Arganzuela,3,2,144,0,0,0,0,0,1,415000
Piso,Puente de Vallecas,3,2,120,1,1,0,1,0,1,204900
Piso,Salamanca,2,2,70,1,0,1,1,0,0,619000
Piso,Centro,3,3,99,1,0,1,1,0,0,859000
Piso,Moncloa,5,4,182,0,1,1,1,1,1,975000
Piso,Salamanca,9,4,517,1,0,1,0,0,0,3000000
Piso,Centro,3,3,110,1,1,1,1,0,0,839000
Piso,Villa de Vallecas,3,2,106,1,1,1,1,0,1,295000
